Using linkage method for clustering
Using RMSD cutoff 0.15 nm
The RMSD ranges from 0.0612515 to 0.939536 nm
Average RMSD is 0.526006
Number of structures for matrix 1085
Energy of the matrix is 49.887.

Found 304 clusters

Writing middle structure for each cluster to cluster_d0.15/clust_id.pdb

cl. | #st  rmsd | middle rmsd | cluster members
  1 |  62  0.218 |    400 .185 |      0    100    200    300    400    500    600
    |           |             |    700    800    900   1000   1100   1200   1300
    |           |             |   1400   1500   1600   1700   1800   1900   2100
    |           |             |   2200   2300   2400   2600   2700   2800   2900
    |           |             |   3100   3800   4000   4200   4400   4600   4700
    |           |             |   4800   4900   5000   5100   5200   5400   5500
    |           |             |   5600   5700   5800   5900   6000   6100   6200
    |           |             |   6300   6500   6600   6700   6800   6900   7000
    |           |             |   7100   7200   7400   7500   7600   7700
  2 |   1       |   2000      |   2000
  3 |   1       |   2500      |   2500
  4 |   1       |   3000      |   3000
  5 |   1       |   3200      |   3200
  6 |   5  0.151 |   3600 .127 |   3300   3400   3500   3600   3700
  7 |   1       |   3900      |   3900
  8 |   1       |   4100      |   4100
  9 |   1       |   4300      |   4300
 10 |   1       |   4500      |   4500
 11 |   1       |   5300      |   5300
 12 |   1       |   6400      |   6400
 13 |   1       |   7300      |   7300
 14 |   1       |   7800      |   7800
 15 |   1       |   7900      |   7900
 16 |   1       |   8000      |   8000
 17 |   1       |   8100      |   8100
 18 |   1       |   8200      |   8200
 19 |   1       |   8300      |   8300
 20 |   1       |   8400      |   8400
 21 |   1       |   8500      |   8500
 22 |  18  0.189 |  10300 .167 |   8600   8700   8800   8900   9000   9100   9200
    |           |             |   9300   9400   9500   9600   9800  10000  10200
    |           |             |  10300  10400  10500  10600
 23 |   1       |   9700      |   9700
 24 |   1       |   9900      |   9900
 25 |   1       |  10100      |  10100
 26 | 193  0.273 |  17900 .224 |  10700  10800  10900  11000  11100  11200  11300
    |           |             |  11400  11500  11600  11700  11900  12000  12100
    |           |             |  12200  12300  12400  12500  12600  12700  12800
    |           |             |  12900  13000  13100  13200  13300  13500  13600
    |           |             |  13700  13900  14100  14200  14300  14400  14500
    |           |             |  14600  14700  14800  14900  15000  15200  15300
    |           |             |  15400  15500  15600  15700  16100  16400  16700
    |           |             |  16800  16900  17300  17400  17500  17600  17700
    |           |             |  17800  17900  18000  18100  18200  18300  18400
    |           |             |  18500  24000  24200  24500  25000  25300  25500
    |           |             |  25600  25900  26100  26400  26900  27200  27300
    |           |             |  27500  27600  27900  28000  28600  28800  28900
    |           |             |  29200  29300  29400  29500  30000  30100  30200
    |           |             |  31400  31500  31600  31700  31800  31900  32000
    |           |             |  32100  32400  32500  32600  32700  33000  33100
    |           |             |  33200  33300  33400  33500  33600  33700  33800
    |           |             |  33900  34000  34100  34200  34300  34400  34500
    |           |             |  34600  34700  34800  34900  35000  35100  35200
    |           |             |  35300  35400  35500  35600  35700  35800  36000
    |           |             |  36300  36400  36500  36600  36700  36900  37000
    |           |             |  37200  37300  37400  37500  37600  37700  38000
    |           |             |  38200  38300  38400  38500  38600  38700  38800
    |           |             |  39000  39100  39300  39400  39500  40000  40100
    |           |             |  40200  40300  40400  40500  40600  40700  41100
    |           |             |  41400  44000  44100  44200  44300  44400  44500
    |           |             |  44600  44700  44800  44900  45000  45100  45400
    |           |             |  45500  45600  45700  45800  45900  46200  46300
    |           |             |  46500  46600  49900  50300
 27 |   1       |  11800      |  11800
 28 |   1       |  13400      |  13400
 29 |   1       |  13800      |  13800
 30 |   1       |  14000      |  14000
 31 |   1       |  15100      |  15100
 32 |   6  0.161 |  28200 .139 |  15800  24300  27400  28200  28500  32300
 33 |   4  0.171 |  26200 .143 |  15900  25700  26200  39600
 34 |   1       |  16000      |  16000
 35 |   2  0.146 |  16200 .146 |  16200  36200
 36 |   1       |  16300      |  16300
 37 |   1       |  16500      |  16500
 38 |   1       |  16600      |  16600
 39 |   1       |  17000      |  17000
 40 |   2  0.145 |  17100 .145 |  17100  36100
 41 |   1       |  17200      |  17200
 42 |   1       |  18600      |  18600
 43 |   1       |  18700      |  18700
 44 |   1       |  18800      |  18800
 45 |   1       |  18900      |  18900
